,Time,Count
0,0-0,17.23164939880371
1,0-2,17.23164939880371
2,0-3,17.23164939880371
3,0-5,17.23164939880371
4,0-7,17.23164939880371
5,0-8,17.23164939880371
6,0-10,17.23164939880371
7,0-12,17.23164939880371
8,0-13,17.23164939880371
9,0-15,17.23164939880371
10,0-17,17.23164939880371
11,0-18,17.23164939880371
12,0-20,17.23164939880371
13,0-22,17.23164939880371
14,0-23,17.23164939880371
15,0-25,17.23164939880371
16,0-27,17.23164939880371
17,0-28,17.23164939880371
18,0-30,17.23164939880371
19,0-32,17.23164939880371
20,0-33,17.23164939880371
21,0-35,17.23164939880371
22,0-37,17.23164939880371
23,0-38,17.23164939880371
24,0-40,17.23164939880371
25,0-42,17.23164939880371
26,0-43,17.23164939880371
27,0-45,17.23164939880371
28,0-47,17.23164939880371
29,0-48,17.23164939880371
30,0-50,17.23164939880371
31,0-52,17.23164939880371
32,0-53,17.23164939880371
33,0-55,17.23164939880371
34,0-57,17.23164939880371
35,0-58,17.23164939880371
36,1-0,17.23164939880371
37,1-2,17.23164939880371
38,1-3,17.23164939880371
39,1-5,17.23164939880371
40,1-7,17.23164939880371
41,1-8,17.23164939880371
42,1-10,17.23164939880371
43,1-12,17.23164939880371
44,1-13,17.23164939880371
45,1-15,17.23164939880371
46,1-17,17.23164939880371
47,1-18,17.23164939880371
48,1-20,17.23164939880371
49,1-22,17.23164939880371
50,1-24,17.23164939880371
51,1-25,17.23164939880371
52,1-27,17.23164939880371
53,1-29,17.23164939880371
54,1-30,17.23164939880371
55,1-32,17.23164939880371
56,1-34,17.23164939880371
57,1-35,17.23164939880371
58,1-37,17.23164939880371
59,1-39,17.23164939880371
60,1-40,17.23164939880371
61,1-42,17.23164939880371
62,1-44,17.23164939880371
63,1-45,17.23164939880371
64,1-47,17.23164939880371
65,1-49,17.23164939880371
66,1-50,17.23164939880371
67,1-52,17.23164939880371
68,1-54,17.23164939880371
69,1-55,17.23164939880371
70,1-57,17.23164939880371
71,1-59,17.23164939880371
72,2-0,17.23164939880371
73,2-2,17.23164939880371
74,2-4,17.23164939880371
75,2-5,17.23164939880371
76,2-7,17.23164939880371
77,2-9,17.23164939880371
78,2-10,17.23164939880371
79,2-12,17.23164939880371
80,2-13,17.23164939880371
81,2-15,17.23164939880371
82,2-17,17.23164939880371
83,2-18,17.23164939880371
84,2-20,17.23164939880371
85,2-22,17.23164939880371
86,2-23,17.23164939880371
87,2-25,17.23164939880371
88,2-27,17.23164939880371
89,2-28,17.23164939880371
90,2-30,17.23164939880371
91,2-32,17.23164939880371
92,2-33,17.23164939880371
93,2-35,17.23164939880371
94,2-37,17.23164939880371
95,2-38,17.23164939880371
96,2-40,17.23164939880371
97,2-42,17.23164939880371
98,2-43,17.23164939880371
99,2-45,17.23164939880371
100,2-47,17.23164939880371
101,2-48,17.23164939880371
102,2-50,17.23164939880371
103,2-52,17.23164939880371
104,2-53,17.23164939880371
105,2-55,17.23164939880371
106,2-57,17.23164939880371
107,2-58,17.23164939880371
108,3-0,17.23164939880371
109,3-2,17.23164939880371
110,3-3,17.23164939880371
111,3-5,17.23164939880371
112,3-7,17.23164939880371
113,3-8,17.23164939880371
114,3-10,17.23164939880371
115,3-12,17.23164939880371
116,3-13,17.23164939880371
117,3-15,17.23164939880371
